cod_ibge,municipio,uf,populacao_censo_2022,volume
3205101,Viana,ES,73423,I
4104907,Castro,PR,73075,I
1506500,Santa Izabel do Pará,PA,73019,I
2311801,Russas,CE,72928,I
2303501,Cascavel,CE,72720,I
4214805,Rio do Sul,SC,72587,I
4205902,Gaspar,SC,72570,I
1507953,Tailândia,PA,72493,I
4300406,Alegrete,RS,72409,I
2906501,Candeias,BA,72382,I
3160108,Santo Antônio do Grama,MG,72127,I
2907202,Casa Nova,BA,72086,I
3522604,Itapira,SP,72022,I
4201406,Araranguá,SC,71922,I
5208806,Goianira,GO,71916,I
3524303,Jaboticabal,SP,71821,I
3164704,São Sebastião do Paraíso,MG,71796,I
4122404,Rolândia,PR,71670,I
2706307,Palmeira dos Índios,AL,71574,I
4207502,Indaial,SC,71549,I
2910057,Dias d Ávila,BA,71485,I
2906006,Campo Formoso,BA,71377,I
3515509,Fernandópolis,SP,71186,I
2309607,Pacajus,CE,70983,I
3135100,Janaúba,MG,70699,I
1301209,Coari,AM,70616,I
3524006,Itupeva,SP,70616,I
2904605,Brumado,BA,70510,I
1502202,Capanema,PA,70394,I
4307906,Farroupilha,RS,70286,I
5213103,Mineiros,GO,70081,I
1500404,Alenquer,PA,69377,I
5101803,Barra do Garças,MT,69210,I
4322608,Venâncio Aires,RS,68763,I
3537602,Peruíbe,SP,68352,I
1505304,Oriximiná,PA,68294,I
3126109,Formiga,MG,68248,I
3306107,Valença,RJ,68088,I
3501905,Amparo,SP,68008,I
2908408,Conceição do Coité,BA,67825,I
3530508,Mococa,SP,67681,I
1508001,Tomé-Açu,PA,67585,I
2516201,Sousa,PB,67259,I
3515103,Embu-Guaçu,SP,66970,I
1304062,Tabatinga,AM,66764,I
2503209,Cabedelo,PB,66519,I
3526803,Lençóis Paulista,SP,66505,I
3115300,Cataguases,MG,66261,I
2916401,Itapetinga,BA,65897,I
2101707,Barreirinhas,MA,65589,I
2903904,Bom Jesus da Lapa,BA,65550,I
2208403,Piripiri,PI,65538,I
1507300,São Félix do Xingu,PA,65418,I
2300200,Acaraú,CE,65264,I
2609907,Ouricuri,PE,65245,I
3135209,Januária,MG,65150,I
2802106,Estância,SE,65078,I
2914703,Itaberaba,BA,65073,I
1503309,Igarapé-Miri,PA,64831,I
3531803,Monte Mor,SP,64662,I
2306256,Itaitinga,CE,64650,I
1718204,Porto Nacional,TO,64418,I
4312401,Montenegro,RS,64322,I
4322509,Vacaria,RS,64197,I
3506359,Bertioga,SP,64188,I
2614501,Surubim,PE,64120,I
3555000,Tupã,SP,63928,I
4304630,Capão da Canoa,RS,63594,I
1501501,Benevides,PA,63567,I
3530300,Mirassol,SP,63337,I
2503704,Cajazeiras,PB,63239,I
4303905,Campo Bom,RS,62886,I
2610905,Pesqueira,PE,62722,I
2305407,Icó,CE,62642,I
3149309,Pedro Leopoldo,MG,62580,I
1505809,Portel,PA,62503,I
